"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
7442,"Equivalencia de Estudios UPT","Trámite que deben realizar para obtener un documento que acredita que los estudios realizados en una institución de Nivel Superior son equiparables con los Planes de estudios que oferta la Universidad Politécnica de Tulancingo.","Todos los documentos son en formato pdf:\n1.- Copia de  la CURP.\n2.- Copia certificado parcial de licenciatura.\n3. -Copia certificado de bachillerato.\n4.- Copia acta de nacimiento.\n5.- Comprobantes de pago.","Publicado","Trámite","Alta","Transaccional",16,322,"","15 minutos","Permanente",3,5
7524,"Curso semipresencial ITESHU.","Es el proceso que realizan los estudiantes para acreditar el curso ordinario, sin asistir de manera regular a clases, solamente mediante asesorías programadas.","1.	Comprobante de pago.","Publicado","Trámite","Alta","De inicio",3,193,"","2 días","Semestral",6,1
7528,"Exámenes Generales de Egreso de la Licenciatura (EGEL) ITESHU.","Proceso que realiza el estudiante para conocer el nivel académico en 8° semestre y es opción de titulación.","Comprobante de pago o carta compromiso (cuando aplique).","Publicado","Trámite","Alta","Transaccional",9,186,"","5 horas","Anual",6,1
7586,"Evaluación de segunda oportunidad ITESHU.","Es el proceso que realiza el estudiante para presentar una evaluación formativa de complementación.","1.	Comprobante de pago de derechos.","Publicado","Trámite","Alta","De inicio",6,529,"","6 horas","Semestral",4,1
7588,"Titulación ITESHU.","Es el proceso que realiza el egresado para obtener el título profesional de Licenciatura o Posgrado al haber cubierto totalmente el plan de estudios vigente o el programa, y cumplir con los demás requisitos establecidos en términos de la legislación aplicable.","1) Certificado de Licenciatura (Escaneado en formato .JPG o .JPEG).\n2) Certificado de Preparatoria (Escaneado en formato .JPG o .JPEG).\n3) Acta de Nacimiento (Escaneado en formato .JPG o .JPEG).\n4) Clave Única de Registro de Población (Escaneada en formato .JPG o .JPEG).\n5) Una fotografía tamaño infantil reciente con fondo blanco en formato .JPG o .JPEG. (Medidas de 3 cm de alto x 2.5 cm de ancho. Las fotografías deberán ser en fondo blanco. Hombres sin barba, ni bigote y con traje oscuro y peinado formal. Mujeres con traje sastre oscuro, sin aretes, maquillaje discreto y pelo recogido.\n6) Formatos de Solicitud para el trámite de Título y Cédula Profesional, en electrónico, impreso por ambos lados y ser firmado con pluma negra tinta gel (Escaneado en formato .JPG o .JPEG).\n7) Copia de la Constancia de Terminación de Servicio Social (Escaneado en formato .JPG o .JPEG). \n8) Copia de la Constancia de Liberación de algún idioma extranjero (Escaneado en formato .JPG o .JPEG).\n9) Constancia de no adeudos (sustituye a FAC-44), emitida por coordinador de carrera (Escaneado en formato .JPG o .JPEG).\n10) Comprobante de que cuenta con firma electrónica vigente, emitida por el SAT (Escaneado en formato .JPG o .JPEG).","Publicado","Trámite","Alta","Transaccional",5,719,""," 85 minutos","No tiene Vigencia",6,10
7619,"Reposición de Credencial UTVAM","Servicio de Reposición de Credencial Institucional.","1.- Generar tu Referencia Bancaria desde la plataforma de UTVAM-SISTEMA, por concepto de Reposición de Credencial.\n2.- Comprobante de pago por concepto de Reposición de Credencial.","Publicado","Trámite","Alta","De inicio",87,411,"","2 días hábiles","1 año",3,2
7973,"Equivalencia de Estudios de tipo Superior ","Los alumnos podrán tener el tránsito entre una institución y otra que este dentro del Sistema Educativo Nacional y dentro del Estado de Hidalgo, para poder continuar sus estudios realizando una equivalencia de estudios","Requisitos:  Todo en original y copia\n1. Solicitud (proporcionada por la Dirección de Educación Superior), \n2. Acta de Nacimiento, \n3. Certificado de Bachillerato,\n4. Certificado Total o Parcial de Estudios de nivel superior (Licenciatura o Posgrado, mencione el ciclo escolar cursado),\n5. Opinión Técnica (Expedida por la Institución Educativa a donde desea ingresar),\n6. Plan de Estudios (De la Institución Educativa de procedencia y de la Institución a la que desea ingresar),\n7.- Formato 7 para el pago de contribuciones, productos y aprovechamientos federales, estatales y municipales emitido por la Secretaria de Finanzas y Administración del Gobierno del Estado de Hidalgo.","Publicado","Trámite","Alta","Transaccional",1130,511,"","15 días hábiles","Permanente",7,8
8031,"Credencial  Institucional (ITSOEH)","Trámite Dirigido a todos aquellos Estudiantes que requieren una Reposición de Credencial Vigente.","1.- Toma de Fotografía en el Departamento de Control Escolar                                                                                                                        ","Publicado","Trámite","Alta","Informativo",74,274,"","5 días hábiles","Al concluir su plan de estudios (9 semestres)",3,2
8032,"Examen de Ingreso (ITSOEH)","Trámite Dirigido a todos aquellos Aspirante que desean Presentarse al Examen de Admisión y tiene como Objetivo medir las Capacidades Actitudinales del Solicitante","1.- Copia del Certificado de Bachillerato o Constancia de Estudio con promedio mínimo 7.0                                                                                                    2.- Curp emitido por la RENAPO                                                                             \n3.- Comprobante de Domicilio (no mayor a tres meses)                                                                             \n4.- Dos Fotografías tamaño infantil blanco y negro o a color                                                       \n","Publicado","Trámite","Alta","Informativo",628,350,"","20 minutos","6 meses",3,4
8132,"Historial Académico UTMZ","Documento que respalda las calificaciones del alumno o ex-alumno,  obtenidas de las materias durante la estancia en la Universidad Tecnológica Minera de Zimapán.","Solicitud. ","Publicado","Trámite","Alta","Informativo",0,53,"","1  día hábil","Sin Vigencia ",4,1
8137,"Credencial Escolar UTMZ","Otorgar a los estudiantes la identificación que los acreditas como estudiantes activos de la Universidad Tecnológica Minera de Zimapán.","1.- Ser alumno Activo.","Publicado","Trámite","Alta","Informativo",64,75,"","5 días hábiles","2 años",7,1
8138,"Titulación UTVAM","Trámite esta dirigido a las/os egresadas/os de la Universidad Tecnológica de la Zona Metropolitana del Valle de México del nivel Técnico Superior Universitario y/o Licenciatura/Ingeniería  que deseen realizar el proceso de titulación.","1.- Entregar la Solicitud de Registro de Título Profesional en original llenada, sin firma y sin fotografía.\n2.- Carta de liberación de Estadía, firmada por el Departamento de Innovación de la  UTVAM.\n3.- Certificación B1(T.S.U.) B2(ING/LIC) del nivel de dominio del idioma inglés, firmado y sellado por la Dirección de Lenguas Extranjeras de la  UTVAM.\n4.- Comprobante de pago por Derechos y Trámites de Titulación (DGP-SEP).\n5.- Acta de nacimiento certificada del año en curso original y una copia tamaño carta.\n6.-  6 fotografías tamaño infantil a blanco y negro.\n7.- Certificado de Educación Media Superior y una copia tamaño carta.\n8.- Certificado de Técnico Superior Universitario y una copia tamaño carta (Titulación de Ingeniería o Licenciatura).\n9.- Titulo y Registro Estatal Electrónico de Técnico Superior Universitario y una copia tamaño carta (Titulación de Ingeniería o Licenciatura).\n10.- Una copia tamaño carta de la CURP actualizada.","Publicado","Trámite","Alta","De inicio",1999,1062,"","Siete meses.","Permanente",5,10
8190,"Historial Académico UPMH","Documento oficial en el que se informa las calificaciones de las y los estudiantes así como su estado académico actual ","1.- Comprobante de pago en plataforma METRONET","Publicado","Trámite","Alta","De inicio",39.09,938,"","3 días hábiles con 2 horas y 5 minutos","4 meses",4,1
8289,"Titulación UTVM","Este trámite permite a los egresados obtener un título oficial que acredita la conclusión satisfactoria de su programa educativo de nivel superior.","1.	2 fotografías en blanco y negro papel mate sin retoque tamaño titulo, 2 fotografías en blanco y negro papel mate sin retoque tamaño certificado y 12 fotografías en blanco y negro papel mate sin retoque tamaño infantil.\n2. Solicitud elaborada de registro de título\n3. Solicitud elaborada de emisión de cédula profesional\n4. Acta de Nacimiento expedida por el registro civil, certificado de nacionalidad, o carta de naturalización según sea el caso.\n5. Copia de la CURP\n6. Certificado de Bachillerato Legalizado\n7. Certificado de Licenciatura Legalizado\n8. Constancia de liberación de servicio social, expedida por la institución educativa que emite el título.\n9. Acta de examen profesional o constancia de no ser exigible.\n10. Título Profesional legalizado y registrado ante la Dirección General de Profesiones de la SEP.\n11. Cédula con efectos de patente para ejercer su profesión.\n12. Pago de Derechos\n13. INE","Publicado","Trámite","Alta","Informativo",1678,390,"","150 días hábiles","indefinida",2,3
8299,"Historial académico UTVM","Trámite que permite a estudiantes obtener un ducumento con asignaturas y calificaciones obtenidas cuatrimestralmente.","1. Número de matrícula","Publicado","Trámite","Alta","Transaccional",0,439,"","2 minutos","indefinida",2,1
8326,"Titulación UTMZ","Distinción dada por la Universidad, después de la terminación exitosa de algún programa de estudio de los que oferta la Institución.","1.-10 Fotografías tamaño infantil blanco y negro con retoque, pelo descubierto y papel mate (saco obscuro, camisa blanca y corbata obscura para hombre y para mujer pelo recogido saco obscuro y camisa blanca),\n2.-Llenar solicitud DGPEH-001A_Tsu., y\n3.-Original y copia de Recibo de pago de inscripción   por el concepto de $1,410.00 en Bancomer al número de cuenta 0198420572.","Publicado","Trámite","Alta","Informativo",0,342,"","150 días hábiles","No aplica",7,8
8327,"Certificado Parcial de Estudios UTMZ","Documento que certifica el avance académico para los fines que requiera el alumno  de la Universidad Tecnológica Minera de Zimapán.","Pago. ","Publicado","Trámite","Alta","Informativo",449,76,"","5  días hábiles","No aplica",5,1
8361,"Admisión ITESHU.","Proceso que realiza el aspirante para obtener una ficha para aplicación de examen de ingreso de Licenciatura y Posgrado.","Programa académico de Licenciatura \n1. Una fotografía tamaño infantil reciente con fondo blanco en formato .JPG o .JPEG. (Medidas de 3 cm de alto x 2.5 cm de ancho. \n2. Constancia de estudios con promedio mínimo 7.0 (original) ó Certificado de Preparatoria o equivalente (Escaneada en formato .JPG o .JPEG).\n3. Acta de nacimiento (Escaneada en formato .JPG o .JPEG). \n4. Pago de derecho a ficha (se obtiene una vez validados los documentos). \n5. Clave Única de Registro de Población (Escaneada en formato .JPG o .JPEG).\n\nPrograma Académico de Posgrado (Maestría) \n1. Una fotografía tamaño infantil reciente con fondo blanco en formato .JPG o .JPEG. (Medidas de 3 cm de alto x 2.5 cm de ancho.\n2. Constancia de estudios de Licenciatura con promedio mínimo 8.0 (original) ó Certificado de Licenciatura o equivalente (Escaneada en formato .JPG o .JPEG). \n3. Cédula Profesional de licenciatura (Escaneada en formato .JPG o .JPEG). \n4. Acta de nacimiento (Escaneada en formato .JPG o .JPEG). \n5. Pago de derecho a ficha (se obtiene una vez validados los documentos).\n6. Clave Única de Registro de Población (Escaneada en formato .JPG o .JPEG).","Publicado","Trámite","Alta","De inicio",0,797,"","27 minutos.","No tiene vigencia.",5,7
8939,"Titulación UPMH","Es la distinción que otorga la Institución a las personas que hayan concluido la realización de los estudios profesionales o de posgrado; se expide título Profesional una vez que cumple con los requisitos administrativos y académicos correspondientes al nivel de estudios","1.- Fotografías, en blanco y negro, papel mate, con retoque, con iluminación y acabados de estudio profesional,\n- 6 fotografías tamaño infantil 2.5 x 3 cm,\n- 4 fotografías tamaño credencial óvalo miñon 3.5 x 5cm (Óvalo),\n- 1 fotografía digital, resolución 300 ppi, archivo de fotógrafo\n2.- Acta de nacimiento original y actualizada\n3.- Original de Certificado de bachillerato legalizado y/o acta de equivalencia\n4.- Una impresión del CURP\n5.- Carpeta digital nombrada con la matrícula del estudiante y nombre del mismo comenzando con apellidos con los siguientes documentos escaneados en formato jpg, con los siguientes nombres (1 Escaneo de Acta de Nacimiento, 2 Escaneo de CURP, 3 Escaneo de Identificación Oficial (por ambos lados en una sola imagen) 4ª Escaneo de Certificado de Bachillerato, 4b Escaneo de Reverso Certificado de Bachillerato, 4c Escaneo de Equivalencia de estudios, 5 Escaneo de TOEFL, 6 Firma escaneada, 7 Foto )\n6.- Comprobante de pago","Publicado","Trámite","Alta","De inicio",0,430,"","255 días hábiles","Permanente",6,4
9182,"Pago a plazos de contribuciones en materia Federal (DGAC) ","El pago a plazos es una modalidad que permite que los contribuyentes cubran las contribuciones federales omitidas y sus accesorios, ya sea de forma diferida o en parcialidades, sin que dicho plazo exceda de treinta y seis meses tratándose del pago en parcialidades y de doce meses para el pago diferido. Se deben cumplir los requisitos señalados, incluyendo un pago inicial de cuando menos el 20% del monto total adeudado actualizado, la diferencia quedará financiada con una tasa de recargos sobre saldos, que va del 1.26% al 1.82%, según corresponda al número de parcialidades, así como la tasa del 1.82% para pago diferido.\n","• Dos tantos de la solicitud por escrito señalando lo siguiente:\no Nombre completo, denominación o razón social. \no Domicilio para oír y recibir notificaciones. \no Clave del RFC.\no Dirección de correo electrónico y número de teléfono del contribuyente.\no Autoridad a quien va dirigido.\no El número de crédito o la manifestación de que se trata de un adeudo autodeterminado.\no El monto del crédito por pagar a plazos, ya sea en parcialidades o diferido, y el periodo que comprende la actualización en los términos del inciso a, fracción II, del artículo 66 del Código Fiscal de la Federación.\no El monto de los accesorios causados, identificando la parte que corresponda a recargos, multas y otros accesorios. \no La manifestación de que realizó el pago de cuando menos el 20% del total del crédito.\no La modalidad en la que desea pagar:\n Tratándose del pago en parcialidades el plazo no podrá exceder de 36 meses.\n Tratándose de pago diferido, se debe señalar la fecha en la que se cubrirá el crédito, sin que exceda de 12 meses.\no La garantía del interés fiscal ofrecida o en su caso, la solicitud de dispensa de la misma.\n\n• Presentar la siguiente documentación anexa.\no Constancia de situación fiscal.\no Declaración normal o complementaria por corrección fiscal del adeudo motivo de la solicitud.\no Comprobante de pago del 20% del crédito.\no Copia simple y original para cotejo de la identificación oficial vigente de la persona física y/o del representante legal, así como del acta constitutiva y/o poder notarial del representante legal, en el caso de personas morales.\no Los documentos que acrediten la garantía del interés fiscal.","Publicado","Trámite","Alta","Transaccional",0,186,"","15 días","Corresponde a la establecida en la resolución que emita la autoridad fiscal",1,1
9229,"Canje de Placas","TRÁMITES RELACIONADOS CON EL CANJE DE PLACAS PARA VEHÍCULO PARTICULAR, REMOLQUE, MOTOCICLETAS, ANTIGUO, DE DISCAPACITADOS, DEMOSTRACIÓN Y PARA SERVICIO PÚBLICO\n\n- Canje de placas\n- Actualización de datos que de origen al canje de placas metálicas para vehículos particulares, antiguos, de discapacitados, remolques, motocicletas y para servicio público\n- Impuesto sobre Adquisición de Vehículos Usados (cambio de propietario)\n- Transferencia de Concesión en caso de Servicio Público  (Impuesto sobre Adquisición de Vehículos Usados)\n \nActualizar los vehículos que cuentan con placas no vigentes del Estado de Hidalgo, ya sean placas de circulación normales o con numeración especifica.\n","Presentar en Original:\n\nPersonas Físicas: \n\n• Identificación oficial con fotografía Vigente (Credencial para Votar, Licencia de conducir, Cartilla, Pasaporte o Cédula Profesional). \n• Comprobante de domicilio vigente (no mayor a 6 meses) (Luz, Agua, Teléfono o Predial, Contrato de arrendamiento adjuntando último recibo de pago que reúna requisitos fiscales, Edo. de Cuenta Bancaria). A nombre del propietario del vehículo de lo contrario comprobar parentesco, mediante acta de nacimiento o acta de matrimonio. \n• Cédula de Identificación Fiscal con Registro Federal de Contribuyentes, en el caso de personas que se encuentren obligadas a tributar en términos de las disposiciones fiscales federales. \n• CURP. \n\nEn su caso podrá realizar el trámite con: \n\n• Poder Notarial o carta poder de quien acude a realizar el trámite (con firma de 2 testigos y sus respectivas identificaciones originales) (solo vehículos particulares)\n\nPersonas Morales: \n\n•Identificación oficial con fotografía Vigente de quien acude a realizar el trámite. (Credencial para Votar, Licencia de conducir, Cartilla, Pasaporte o Cédula Profesional). \n• Acta Constitutiva de la persona moral. \n• Poder Notarial de quien acude a realizar el trámite cuando no constan los poderes en el Acta Constitutiva o bien, carta poder \n• Cédula de identificación fiscal con Registro Federal de Contribuyentes de la persona moral \n• Comprobante de domicilio vigente de la persona moral. (No mayor a 6 meses) (Luz, Agua, Teléfono o Predial, Contrato de arrendamiento adjuntando último recibo de pago que reúna requisitos fiscales, Edo. de Cuenta Bancaria).\n\nVehículo Particular, Remolque, Motocicleta, Antiguos y de Discapacitados, ya sea usado nacional o de procedencia extranjera: \n\n• Factura, Refacturación, Factura Judicial o Título de propiedad.\n• Factura de Motor (en caso de cambio). \n• Factura o acta levantada ante el Juez Municipal tratándose de remolques. \n• Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. \n• Juego de placas metálicas o Acta ante el M.P. por robo o extravío (especificando delantera y/o trasera). \n\nNOTA: A fin de dar mayor certeza jurídica es importante presentar el vehículo para su inspección física.\n \nCanje de placas de Vehículo antiguo (Documento adicional): \n\n•Certificado de antigüedad vigente emitido por el Instituto Politécnico Nacional o personas jurídicas autorizadas.\n\nCanje de placas de Vehículo para el transporte de personas discapacitadas (Documento adicional): \n\n• Certificado médico expedido por una institución pública que acredite la discapacidad neuromotora o músculo esquelético del propietario o del familiar del propietario. (Presentando acta de nacimiento o acta de matrimonio). \n\nCambio de Propietario: \n\n• Factura, Refacturación, Factura Judicial o Título de Propiedad, Factura o Acta levantada ante el Juez Municipal tratándose de Remolques. \n• Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. (El endoso deberá contener fecha, nombre y firma del vendedor) \n• Copia de Identificación oficial con fotografía del Vendedor en su caso.\n• Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera.\n\nVehículo del Servicio Público (usado nacional o de procedencia extranjera): \n\n• Factura, Refacturación, Factura Judicial o Título de Propiedad. \n• Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. \n• Oficio de autorización expedido por el Sistema de Transporte Convencional de Hidalgo. \n• Juego de placas metálicas, Acta ante el M.P. por robo o extravío (especificando delantera y/o trasera) \n• Factura de Motor (en caso de cambio). \n• Presentar el formato de Revista que emite SCTH, en caso de no contar con ella, presentar el vehículo para inspección física. \n\nCambio de Propietario para Vehículo del Servicio Público: \n\n• Factura, Refacturación, Factura Judicial o Título de Propiedad. \n• Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. (El endoso deberá contener fecha, nombre y firma del vendedor) \n• Copia de Identificación oficial con fotografía del Vendedor en su caso.\n• Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. \n\n\nNota: \nObtención del Certificado de antigüedad:\n\nEstado de Hidalgo:\n*Informes al teléfono 01 771 71 7 60 00 ext. 2428, correo electrónico elmasfg@hidalgo.gob.mx.\n*Costo aproximado del dictamen $4,403.00, pago que se realiza directamente al CIITEC (Si cumple con los requisitos, realiza el pago para la obtención de dicho documento)\n\nOficinas del CIITEC en la Ciudad de México:\n*Domicilio: Cerrada de Cecati S.N, Azcapotzalco, Santa Catarina, 02250, Ciudad de México, CDMX. Tel 0155 53 83 20 43, Ext.68352.\n*Costo aproximado del dictamen $629.00\n\nRequisitos para obtener el Dictamen\n\n• El vehículo debe de haber cumplido un mínimo de 30 años de antigüedad y contar con al menos el 80% de originalidad (Interior, exterior y motor).\n• Elaborar un escrito libre dirigido al CIITEC en original y copia, solicitando la revisión del auto, que contenga los datos de la unidad y del propietario (nombre, dirección y R.F.C.) debidamente firmado. \n• Presentar la unidad en el Centro Regional de Atención al Contribuyente señalado, en las fechas programadas. o si lo desea en las Oficinas del CIITEC \nPara vehículos nacionales:\n• 2 Copias de factura\n• 2 Copias de tarjeta de circulación\n• 2 Copias del tarjetón o acta levantada ante el Juez Municipal\n• 2 Copias de la identificación oficial del propietario\nPara vehículos extranjeros:\n• 2 Copias de pedimento de importación\n• 2 Copias de título de propiedad\n• 2 Copias de tarjeta de circulación (si cuenta con ella)\n• 2 Copias de la identificación oficial del propietario","Publicado","Trámite","Alta","Transaccional",10.4,5062,"","20 minutos","Indefinido",1,1
9337,"Pago a plazos de contribuciones en materia Estatal (DGAC)","El pago a plazos es una modalidad que permite que los contribuyentes cubran las contribuciones estatales omitidas y sus accesorios, ya sea de forma diferida o en parcialidades, sin que dicho plazo exceda de treinta y seis meses tratándose del pago en parcialidades y de doce meses para el pago diferido. Se deben cumplir los requisitos señalados, incluyendo un pago inicial de cuando menos el 20% del monto total adeudado actualizado, la diferencia quedará financiada con una tasa de recargos sobre saldos, que va del 1.25% al 1.70%, según corresponda al número de parcialidades.\n\n","En forma presencial\n1. Escrito libre firmado y en dos tantos, en el que señale:\na. Nombre, denominación, o razón social de la empresa si eres persona moral. \nb. Domicilio fiscal manifestado en el RFC.\nc. Clave del RFC. \nd. Domicilio para oír y recibir notificaciones.\ne. Señalar la autoridad a la que va dirigido.\nf. El propósito de la promoción.\ng. Dirección de correo electrónico.\nh. Acreditamiento de la representación de las personas físicas o morales.\nAdicionalmente, deberá manifestar lo siguiente: \ni. Número de la resolución determinante. \nj. Todos los hechos y circunstancias relacionados con el motivo de la promoción, debes acompañarlos con los documentos e información que soporten tales hechos o circunstancias.\nk. El monto del adeudo a pagar en parcialidades, especificando el tipo de contribución y/o aprovechamiento, el periodo al que corresponde dicha contribución y/o aprovechamiento, así como señalar el periodo que comprende la actualización, desde el mes en que se debieron pagar y hasta aquél en que se solicite la autorización.\nl. El monto de los accesorios causados, identificando la parte que corresponda a recargos, multas y a otros accesorios. \nm. Manifiesta si deseas pagar un importe mayor al 20% del adeudo actualizado, como pago inicial señalando el porcentaje correspondiente.\nn. Señalar que la modalidad elegida es el pago en parcialidades y manifestar el plazo en el que cubrirás el adeudo fiscal, sin que exceda de 36 meses.\n2. Identificación oficial\n           En caso de ser representante legal:       \n3.  Poder notarial para acreditar la personalidad del representante legal (copia certificada y copia simple para cotejo) o carta poder firmada ante dos testigos y ratificadas las firmas ante las autoridades fiscales o fedatario público (original y copia simple para cotejo).\n     4. Documento notarial con el que se haya designado el representante legal para efectos fiscales, en caso de residentes en el extranjero o de extranjeros residentes en México (copia certificada y copia simple para cotejo).  \n\nO por medio del sitio www.hidalgo.gob.mx, en el apartado de ""pagos""\n1.-  Ingresar con firma electrónica, expedida por el SAT o  usuario y contraseña proporcionada por la Secretaría de Finanzas \n       Públicas \n2.-  Requisita el formulario conforme a lo siguiente: \n        a. Correo electrónico con dominio\n        b. Número telefónico con clave lada  \n        c.- Autorizar o negar el contacto con la autoridad vía Whatsapp\n        d.- Domicilio para oír y recibir notificaciones.\n        e.- Señalar la autoridad a la que va dirigido.\n        f.-  Número de la resolución determinante y/o número de crédito fiscal o contribuciones adeudadas.\n        k.-  El monto del adeudo. \n        l.-   Manifestar si deseas pagar un importe mayor al 20% del adeudo actualizado como pago inicial.\n        m.- Señalar la modalidad elegida  ya sea pago diferido hasta 12 meses o el número de parcialidades elegido hasta 36 meses.\n        n.-  Adjuntar los siguientes documentos de manera digital en formato pdf\n2. Identificación oficial  \n(En caso de ser representante legal):     \n3. Acta constitutiva y Poderes notariales cuando no se contemplen en el Acta (original o copia certificada), con folio mercantil \n    ante el registro público.\n\n\n\n","Publicado","Trámite","Alta","Transaccional",0,232,"","15 dias","Corresponde a la establecida en la resolución que emita la autoridad fiscal",1,1
9918,"Garantias del Interes Fiscal (Federal)","Descripción: Solicitud de ofrecimiento de garantías del interés fiscal para los créditos fiscales que se ecuentren impugnados y en el Procediemiento Administrativo de Ejecución.  \nObjetivo: Que las personas físicas y morales puedan garantizar el crédito fiscal a su cargo, así como tener la certeza del cobro del mismo a favor de la Entidad. ","A. En forma virtual \n1) Ingresar al sitio http//portaltributario.hidalgo.gob.mx, en el apartado de ""pagos""\n2) Señalar en el buscador el servicio de “Garantías del interés fiscal federal”.\n3) Elegir la opción: “Pagar”.\n4) Elegir la opción: “Nueva Solicitud”.\n5) Autentificaren la oficina virtual.\n6) Proporcionar los datos de contacto para que la autoridad le informe el avance de su trámite y seleccionar el tipo de garantía ofrecida.\n7) Cargar a la plataforma los documentos digitalizados que se le soliciten respetando cada uno de los apartados y dar clic en el botón “Enviar”. Podrá omitir los que no correspondan a su caso, dando clic sobre el botón de “No aplica”.\n8) Al final del listado de los documentos requeridos, encontrara el manifiesto de protesta de conducirse con verdad si está de acuerdo, de clic en “Aceptar”.\n9) Al terminar de cargar los archivos, dar clic en el botón “Concluir solicitud”, en caso de no contar con toda la documentación al instante o desee proseguir en otro momento, cuenta con la opción de “Continuar más tarde”.\n10) El sistema proporcionara un folio que será también enviado a través del correo electrónico proporcionado, con él podrá dar continuidad y/o verificar el estatus en que se encuentre su trámite. \n11) Posteriormente el personal de la oficina “Hidalgo Pagos” atenderá y validará la solicitud y documentos, de ser correcta, el contribuyente podrá generar una cita en términos de lo previsto en la regla 1.2 para concluir su trámite en las oficinas de la autoridad ejecutora.\n12) En caso de no cumplir con la totalidad de los requisitos, dentro de los quince días hábiles siguientes, se le notificará de manera personal el requerimiento de información o documentación faltante en la solicitud, a fin de que en un plazo de quince días hábiles siguientes a aquel en que surta efectos la notificación de dicho requerimiento, cumpla con los requisitos omitidos, en caso contrario no se  aceptara la garantía.\n13) Si  el contribuyente solventa correctamente el requerimiento, podrá entonces generar una cita en términos de lo previsto en la regla 1.2 para concluir su trámite en las oficinas de la autoridad ejecutora\n\n\nB. En forma presencial\nI. Escrito libre el cual deberá contener:\n- Nombre, denominación o razón social del o la contribuyente.\n- Clave del R.F.C. \n- Domicilio fiscal.\n- Modalidad de garantía que ofrece.\n- Nombre de la autoridad a la que se dirige y el propósito de la promoción.\n- Número de crédito fiscal que tiene a su cargo el o la contribuyente.\n- Dirección de Correo electrónico.\n- Firma del contribuyente o representante legal.   \nII. Identificación oficial, cualquiera de las señaladas en el Apartado I. Definiciones; punto 1.2. Identificaciones Oficiales, comprobantes de domicilio y poderes, inciso A) Identificación oficial, del anexo 1-a de la RMF.\nIII. Acta Constitutiva y Poder Notarial en su caso, inscritos ante el RPP con folio mercantil, para personas morales. \nIV. En su caso, acreditamiento de la representación de las personas físicas.\n","Publicado","Trámite","Alta","De inicio",0,44,"","3 meses ","1 año de vigencia para todas las formas de garantizar el interés fiscal. ",1,2
